"<img src=""Front"">"	Thai	Phonetic	Translation	Grammar	Vocabulary	Audio	Module
"<img src=""Girl from Nowhere_S01E07_Wonderwall Part 2.th.closedcaptions_00h07m56s960ms-00h07m59s120ms.avif"">"	อยากกินน้ำอะไรไหม เดี๋ยวพี่ลงไปซื้อมาให้	yàak gin náam à-rai mǎi dǐao pîi long bpai sʉ́ʉ maa hâi	Want something to drink? I'll go down to buy and bring for you	ลงไปซื้อมา: Go down, buy, bring back. Complex directional chain	น้ำ (náam): water/drink; ซื้อมา (sʉ́ʉ maa): buy and bring	[sound:Girl from Nowhere_S01E07_Wonderwall Part 2.th.closedcaptions_00h07m56s960ms-00h07m59s120ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E21_Episode 21.th.closedcaptions_00h49m21s920ms-00h49m25s520ms.avif"">"	กูถึงอยากจะให้เพื่อนรักคนเดียวที่กูมีเข้าไปอยู่ในคุก	guu tʉ̌ng yàak jà hâi pʉ̂an-rák kon diiao tîi guu mii kâo bpai yùu nai kúk	That's why I want my only friend to go into jail	เข้าไปอยู่ใน: Enter to be inside. Entry with purpose of staying	คุก (kúk): jail; เพื่อนรัก (pʉ̂an-rák): dear friend	[sound:To the Moon and Back_S01E21_Episode 21.th.closedcaptions_00h49m21s920ms-00h49m25s520ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h50m16s400ms-00h50m20s240ms.avif"">"	นั่งเฉยๆ ได้ไหม เดี๋ยวเข็มก็ปักทิ่มไปในสมอง	nâng chə̌əi-chə̌əi dâai mǎi dǐao kěm gɔ̂ɔ bpàk tîm bpai nai sà-mɔ̌ɔng	Can you sit still? Or the needle might pierce into your brain	ปักทิ่มไปใน: Pierce into. Penetration with inward direction	ปักทิ่ม (bpàk tîm): pierce/stab; เข็ม (kěm): needle; สมอง (sà-mɔ̌ɔng): brain	[sound:To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h50m16s400ms-00h50m20s240ms.ogg]	1.3
"<img src=""Answer for Heaven_S01E16_Disappointment.th.closedcaptions_00h26m22s565ms-00h26m26s085ms.avif"">"	ถ้าผมเอาความรู้ที่อยู่ที่นี่ไปรายงานสวรรค์	tâa pǒm ao kwaam-rúu tîi yùu tîi nîi bpai raai-ngaan sà-wǎn	If I take the knowledge here to report to heaven	เอา...ไป: Take away. Taking something to another place	ความรู้ (kwaam-rúu): knowledge; รายงาน (raai-ngaan): report; สวรรค์ (sà-wǎn): heaven	[sound:Answer for Heaven_S01E16_Disappointment.th.closedcaptions_00h26m22s565ms-00h26m26s085ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E15_Episode 15.th.closedcaptions_01h07m49s920ms-01h07m55s360ms.avif"">"	วันนี้พ่อต้องส่งลูกไปเจอกับคนที่เขาอาจจะคิดไม่เหมือนเรา	wan-níi pɔ̂ɔ dtɔ̂ng sòng lûuk bpai jəə gàp kon tîi kǎo àat jà kít mâi mʉ̌an rao	Today dad must send you to meet people who might think differently	ส่งไปเจอ: Send to meet. Sending away for encounter	ส่ง (sòng): send; เจอ (jəə): meet	[sound:To the Moon and Back_S01E15_Episode 15.th.closedcaptions_01h07m49s920ms-01h07m55s360ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h34m01s165ms-00h34m04s365ms.avif"">"	ถ้าเกิดหิวมาก เดี๋ยวฉันออกไปซื้อให้กิน	tâa gə̀ət hǐu mâak dǐao chǎn ɔ̀ɔk bpai sʉ́ʉ hâi gin	If very hungry, I'll go out to buy for eating	ออกไปซื้อให้กิน: Go out + buy + for eating. Complex purpose chain	ออกไป (ɔ̀ɔk bpai): go out; หิว (hǐu): hungry	[sound:Oh My Ghost_S01E12_Episode 12.th.closedcaptions_00h34m01s165ms-00h34m04s365ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h25m41s245ms-00h25m44s285ms.avif"">"	เดี๋ยวผมไปซื้อให้เลยตอนนี้	dǐao pǒm bpai sʉ́ʉ hâi ləəi dtɔɔn-níi	I'll go buy (it) right now	ไปซื้อให้: Go to buy for. Basic acquisition purpose	คาเวียร์ (kaa-wiia): caviar; ตอนนี้ (dtɔɔn-níi): right now	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h25m41s245ms-00h25m44s285ms.ogg]	1.3
"<img src=""Girl from Nowhere_S02E04_Yuri.th.closedcaptions_00h08m53s960ms-00h08m56s760ms.avif"">"	เดี๋ยวเราไปซื้อให้ก็ได้	dǐao rao bpai sʉ́ʉ hâi gɔ̂ɔ dâai	I can go buy it for you	ไปซื้อให้ก็ได้: Can go buy for. Offering acquisition service	ก็ได้ (gɔ̂ɔ dâai): can/okay	[sound:Girl from Nowhere_S02E04_Yuri.th.closedcaptions_00h08m53s960ms-00h08m56s760ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h19m45s405ms-00h19m48s725ms.avif"">"	ไปซื้อเป็ดย่างมา	bpai sʉ́ʉ bpèt yâang maa	Went to buy roasted duck and brought back	ไปซื้อ...มา: Go buy and bring. Complete acquisition cycle	เป็ดย่าง (bpèt yâang): roasted duck	[sound:Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h19m45s405ms-00h19m48s725ms.ogg]	1.3
"<img src=""Bad Guys_S01E04_Episode 4.th.closedcaptions_00h05m19s200ms-00h05m22s560ms.avif"">"	เดินไปซื้อเบียร์มาให้หน่อยสิ	dəən bpai sʉ́ʉ biia maa hâi nɔ̀i sì	Walk to buy beer and bring for me	เดินไปซื้อมาให้: Walk + go + buy + bring + for. Full chain	เดิน (dəən): walk; เบียร์ (biia): beer	[sound:Bad Guys_S01E04_Episode 4.th.closedcaptions_00h05m19s200ms-00h05m22s560ms.ogg]	1.3
"<img src=""Girl from Nowhere_S01E07_Wonderwall Part 2.th.closedcaptions_00h07m56s960ms-00h07m59s120ms.avif"">"	เดี๋ยวพี่ลงไปซื้อมาให้	dǐao pîi long bpai sʉ́ʉ maa hâi	I'll go down to buy and bring for you	ลงไปซื้อมาให้: Down + go + buy + bring + for. Vertical acquisition	ลงไป (long bpai): go down; น้ำ (náam): water/drink	[sound:Girl from Nowhere_S01E07_Wonderwall Part 2.th.closedcaptions_00h07m56s960ms-00h07m59s120ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h06m22s685ms-00h06m24s765ms.avif"">"	หิวอะไรมั้ย เดี๋ยวพ่อไปซื้อให้	hǐu à-rai mái dǐao pɔ̂ɔ bpai sʉ́ʉ hâi	Hungry for anything? Dad will go buy for you	ไปซื้อให้: Go buy for. Parental acquisition	หิวอะไร (hǐu à-rai): hungry for what	[sound:Oh My Ghost_S01E15_Episode 15.th.closedcaptions_00h06m22s685ms-00h06m24s765ms.ogg]	1.3
"<img src=""Let's Fight Ghost_S01E04_Episode 4.th.closedcaptions_00h10m57s040ms-00h10m59s240ms.avif"">"	เดี๋ยวฉันไปซื้อเนื้อทำสเต๊กมาให้กิน	dǐao chǎn bpai sʉ́ʉ nʉ́a tam sà-dték maa hâi gin	I'll go buy meat to make steak for eating	ไปซื้อ...ทำ...มาให้กิน: Buy + make + bring for eating	เนื้อ (nʉ́a): meat; สเต๊ก (sà-dték): steak	[sound:Let's Fight Ghost_S01E04_Episode 4.th.closedcaptions_00h10m57s040ms-00h10m59s240ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E10_Episode 10.th.closedcaptions_00h37m49s885ms-00h37m51s605ms.avif"">"	เดี๋ยวฉันไปซื้อเอง	dǐao chǎn bpai sʉ́ʉ eeng	I'll go buy myself	ไปซื้อเอง: Go buy oneself. Self-acquisition	เอง (eeng): self	[sound:Oh My Ghost_S01E10_Episode 10.th.closedcaptions_00h37m49s885ms-00h37m51s605ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E06_Episode 6.th.closedcaptions_00h17m18s560ms-00h17m21s640ms.avif"">"	ฉันเลยไปซื้อข้าวหมูแดงที่ซอยข้างๆ มาให้	chǎn ləəi bpai sʉ́ʉ kâao-mǔu-dɛɛng tîi sɔi kâang-kâang maa hâi	So I went to buy red pork rice from the next alley for you	ไปซื้อ...ที่...มาให้: Go buy at location and bring for	ข้าวหมูแดง (kâao-mǔu-dɛɛng): red pork rice; ซอย (sɔi): alley	[sound:To the Moon and Back_S01E06_Episode 6.th.closedcaptions_00h17m18s560ms-00h17m21s640ms.ogg]	1.3
"<img src=""Remember You_S01E13_Gift from the Grave.th.closedcaptions_00h50m28s360ms-00h50m30s600ms.avif"">"	เพิ่งไปซื้อมา	pə̂ng bpai sʉ́ʉ maa	Just went to buy and brought back	เพิ่งไปซื้อมา: Just went, bought, returned. Recent acquisition	เพิ่ง (pə̂ng): just/recently	[sound:Remember You_S01E13_Gift from the Grave.th.closedcaptions_00h50m28s360ms-00h50m30s600ms.ogg]	1.3
"<img src=""Hormones_S03E06_Episode 6.th.closedcaptions_00h42m37s160ms-00h42m39s200ms.avif"">"	นี่ ไปซื้อมาเยอะๆ เลยนะ	nîi bpai sʉ́ʉ maa yə́-yə́ ləəi ná	Here, go buy lots	ไปซื้อมาเยอะๆ: Go buy and bring lots. Quantity acquisition	เยอะๆ (yə́-yə́): lots/many	[sound:Hormones_S03E06_Episode 6.th.closedcaptions_00h42m37s160ms-00h42m39s200ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h16m08s320ms-00h16m09s920ms.avif"">"	เดี๋ยวผมลงไปซื้อมาให้	dǐao pǒm long bpai sʉ́ʉ maa hâi	I'll go down to buy and bring for you	ลงไปซื้อมาให้: Complete vertical acquisition chain	ลง (long): go down	[sound:To the Moon and Back_S01E04_Episode 4.th.closedcaptions_00h16m08s320ms-00h16m09s920ms.ogg]	1.3
"<img src=""6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h12m57s600ms-00h13m01s280ms.avif"">"	ส่วนเรื่องเงินที่มันหายไป คุณจะไปหามาให้ผม	sùan rʉ̂ang ngəən tîi man hǎai bpai kun jà bpai hǎa maa hâi pǒm	As for the missing money, you'll go find it for me	ไปหามาให้: Go find and bring for. Search and return	หา (hǎa): find/search; หายไป (hǎai bpai): missing	[sound:6ixtynin9 The Series_S01E02_Episode 2.th.closedcaptions_00h12m57s600ms-00h13m01s280ms.ogg]	1.3
"<img src=""Answer for Heaven_S01E13_Complication Part 2.th.closedcaptions_00h34m53s965ms-00h34m55s405ms.avif"">"	ก็ได้ค่ะ เดี๋ยวไปหามาให้	gɔ̂ɔ dâai kâ dǐao bpai hǎa maa hâi	Okay, I'll go find it for you	ไปหามาให้: Go seek and bring for. Promise to find	หามา (hǎa maa): find and bring	[sound:Answer for Heaven_S01E13_Complication Part 2.th.closedcaptions_00h34m53s965ms-00h34m55s405ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h38m01s405ms-00h38m02s565ms.avif"">"	เดี๋ยวผมไปเอามาให้ครับ	dǐao pǒm bpai ao maa hâi kráp	I'll go get it for you	ไปเอามาให้: Go get and bring for. Fetch chain	เอา (ao): get/take	[sound:Oh My Ghost_S01E11_Episode 11.th.closedcaptions_00h38m01s405ms-00h38m02s565ms.ogg]	1.3
"<img src=""Remember You_S01E06_Act of the Innocent.th.closedcaptions_00h53m26s920ms-00h53m28s280ms.avif"">"	เดี๋ยวฉันไปเอามาให้	dǐao chǎn bpai ao maa hâi	I'll go get it for you	ไปเอามาให้: Standard fetch pattern	เอามา (ao maa): get and bring	[sound:Remember You_S01E06_Act of the Innocent.th.closedcaptions_00h53m26s920ms-00h53m28s280ms.ogg]	1.3
"<img src=""Sing Again_S01E07_Episode 7.th.closedcaptions_00h08m38s799ms-00h08m39s880ms.avif"">"	ไปเอามาจากไหน	bpai ao maa jàak nǎi	Where did you go get this from?	ไปเอามาจาก: Go get from where. Question about source	จากไหน (jàak nǎi): from where	[sound:Sing Again_S01E07_Episode 7.th.closedcaptions_00h08m38s799ms-00h08m39s880ms.ogg]	1.3
"<img src=""Unlucky Ploy_S01E15_Episode 15.th.subtitles_00h34m35s480ms-00h34m37s960ms.avif"">"	เห็นดอกไม้แล้วมันคิดถึง ก็เลยเอาไปให้	hěn dɔ̀ɔk-mái lɛ́ɛo man kít-tʉ̌ng gɔ̂ɔ ləəi ao bpai hâi	Saw flowers and thought of you, so took them to give	เอาไปให้: Take to give. Simple delivery	ดอกไม้ (dɔ̀ɔk-mái): flowers; คิดถึง (kít-tʉ̌ng): miss/think of	[sound:Unlucky Ploy_S01E15_Episode 15.th.subtitles_00h34m35s480ms-00h34m37s960ms.ogg]	1.3
"<img src=""Hormones_S01E01_Episode 1.th.closedcaptions_00h23m31s080ms-00h23m33s200ms.avif"">"	ไปดูทีวีรอก่อน เดี๋ยวแม่เอาไปให้	bpai duu tii-wii rɔɔ gɔ̀ɔn dǐao mɛ̂ɛ ao bpai hâi	Go watch TV first, mom will bring it to you	เอาไปให้: Take/bring to give. Delivery promise	ดูทีวี (duu tii-wii): watch TV; รอ (rɔɔ): wait	[sound:Hormones_S01E01_Episode 1.th.closedcaptions_00h23m31s080ms-00h23m33s200ms.ogg]	1.3
"<img src=""Bad Genius_ The Series_S01E10_Episode 10.th.subtitles_00h46m24s400ms-00h46m26s880ms.avif"">"	พอดีแม่หนูลืมข้าวอีกถุงหนึ่ง เลยเอามาให้	pɔɔ-dii mɛ̂ɛ nǔu lʉʉm kâao ìik tǔng nʉ̀ng ləəi ao maa hâi	Mom forgot one more bag of rice, so brought it	เอามาให้: Bring to give. Completion of forgotten task	ลืม (lʉʉm): forget; ถุง (tǔng): bag	[sound:Bad Genius_ The Series_S01E10_Episode 10.th.subtitles_00h46m24s400ms-00h46m26s880ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h17m56s605ms-00h17m58s885ms.avif"">"	ลุง หนูเอามาให้	lung nǔu ao maa hâi	Uncle, I brought this for you	เอามาให้: Brought to give. Simple delivery completion	ลุง (lung): uncle	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h17m56s605ms-00h17m58s885ms.ogg]	1.3
"<img src=""Hunger 2023 - H265 AAC.th.closedcaptions_00h50m20s250ms-00h50m22s041ms.avif"">"	ป๊าบอกอยากชิม อู๋ซื้อมาให้ชิมแล้ว	bpáa bɔ̀ɔk yàak chim ǔu sʉ́ʉ maa hâi chim lɛ́ɛo	Dad said he wanted to try, Uu bought it for tasting	ซื้อมาให้ชิม: Buy and bring for tasting. Purpose acquisition	ชิม (chim): taste; ป๊า (bpáa): dad	[sound:Hunger 2023 - H265 AAC.th.closedcaptions_00h50m20s250ms-00h50m22s041ms.ogg]	1.3
"<img src=""Remember You_S01E16_The End and the New Beginning.th.closedcaptions_00h16m42s360ms-00h16m43s480ms.avif"">"	ผมทำไว้ให้แล้ว	pǒm tam wái hâi lɛ́ɛo	I already made it for you	ทำไว้ให้: Made and left for. Prepared in advance	ทำไว้ (tam wái): made and kept ready	[sound:Remember You_S01E16_The End and the New Beginning.th.closedcaptions_00h16m42s360ms-00h16m43s480ms.ogg]	1.3
"<img src=""Sing Again_S01E08_Episode 8.th.closedcaptions_00h18m55s680ms-00h18m57s840ms.avif"">"	กูไปเอาเบียร์ให้ รอกูอยู่ตรงนี้	guu bpai ao biia hâi rɔɔ guu yùu dtrong níi	I'll go get beer for you, wait here	ไปเอา...ให้: Go get for. Service with waiting	รออยู่ (rɔɔ yùu): wait here	[sound:Sing Again_S01E08_Episode 8.th.closedcaptions_00h18m55s680ms-00h18m57s840ms.ogg]	1.3
"<img src=""To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h58m37s080ms-00h58m38s640ms.avif"">"	เดี๋ยวมาตาไปเอาอาหารให้	dǐao maa-dtaa bpai ao aa-hǎan hâi	Mata will go get food for you	ไปเอาอาหารให้: Go get food for. Food service	อาหาร (aa-hǎan): food; มาตา (maa-dtaa): Mata (name)	[sound:To the Moon and Back_S01E18_Episode 18.th.closedcaptions_00h58m37s080ms-00h58m38s640ms.ogg]	1.3
"<img src=""Miss Culinary_S01E03_Episode 3.th.subtitles_00h36m31s120ms-00h36m32s440ms.avif"">"	เดี๋ยวดิฉันไปเอามาให้นะคะ	dǐao dì-chǎn bpai ao maa hâi ná ká	I'll go get it for you	ไปเอามาให้: Polite fetch offer	ดิฉัน (dì-chǎn): I (female formal)	[sound:Miss Culinary_S01E03_Episode 3.th.subtitles_00h36m31s120ms-00h36m32s440ms.ogg]	1.3
"<img src=""Love Destiny_S02E10_Episode 10.th.closedcaptions_00h37m17s640ms-00h37m19s240ms.avif"">"	ข้าไปเอาให้นะเจ้าคะ	kâa bpai ao hâi ná jâo ká	I'll go get it for you, my lady	ไปเอาให้: Go get for. Servant's offer	ข้า (kâa): I (servant); เจ้าคะ (jâo ká): my lady	[sound:Love Destiny_S02E10_Episode 10.th.closedcaptions_00h37m17s640ms-00h37m19s240ms.ogg]	1.3
"<img src=""Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h34m45s525ms-00h34m49s205ms.avif"">"	เอาของไปให้เขาทำไม	ao kɔ̌ɔng bpai hâi kǎo tam-mai	Why did you take things to give him?	เอาของไปให้: Take things to give. Question about giving	ของ (kɔ̌ɔng): things; ทำไม (tam-mai): why	[sound:Oh My Ghost_S01E03_Episode 3.th.closedcaptions_00h34m45s525ms-00h34m49s205ms.ogg]	1.3
